station
Richmond
El Cerrito del Norte
El Cerrito Plaza
North Berkeley
Downtown Berkeley
Ashby
Antioch
Pittsburg Center
Pittsburg / Bay Point
North Concord / Martinez
Concord
Pleasant Hill
Walnut Creek
Lafayette
Orinda
Rockridge
MacArthur
19th St / Oakland
12th St / Oakland City Center
Berryessa / North San Jose
Milpitas
Warm Springs / South Fremont
Fremont
Union City
South Hayward
Hayward
Dublin / Pleasanton
West Dublin / Pleasanton
Castro Valley
Bay Fair
San Leandro
Coliseum
Oakland International Airport
Fruitvale
Lake Merritt
West Oakland
Embarcadero
Montgomery Street
Powell Street
Civic Center
16th Street Mission
24th Street Mission
Glen Park
Balboa Park
Daly City
Colma
South San Francisco
San Bruno
San Francisco International Airport
Millbrae
